"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
526915;2023-06-02;"sexta-feira";"17:00:00";"SP";381;55;"MAIRIPORA";"Manobra de mudança de faixa";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Sim";2;0;1;0;1;0;1;2;-23,25207404;-46,59480386;"SPRF-SP";"DEL03-SP";"UOP01-DEL03-SP"
526916;2023-06-02;"sexta-feira";"16:15:00";"AL";101;76,8;"RIO LARGO";"Ingestão de álcool pelo condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;0;0;3;0;0;2;-9,41335597;-35,84073284;"SPRF-AL";"DEL01-AL";"UOP01-DEL01-AL"
526917;2023-06-02;"sexta-feira";"17:15:00";"SC";101;323;"PESCARIA BRAVA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva;Declive";"Não";3;0;1;0;2;0;1;3;-28,42789556;-48,91248313;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
526918;2023-06-02;"sexta-feira";"17:30:00";"SC";101;132,1;"BALNEARIO CAMBORIU";"Acessar a via sem observar a presença dos outros veículos";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Múltipla";"Interseção de Vias";"Não";2;0;1;0;1;0;1;2;-26,99654133;-48,65564711;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
526920;2023-06-02;"sexta-feira";"17:12:00";"MG";381;510;"SAO JOAQUIM DE BICAS";"Ingestão de álcool pelo condutor";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Múltipla";"Interseção de Vias;Reta";"Sim";2;0;0;1;1;0;1;2;-20,05872291;-44,28881764;"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
526921;2023-05-06;"sábado";"18:30:00";"RJ";101;512;"ANGRA DOS REIS";"Reação tardia ou ineficiente do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;1;-22,96909;-44,44151;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
526922;2023-06-02;"sexta-feira";"17:00:00";"ES";101;261,9;"SERRA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive";"Sim";2;0;1;0;0;1;1;2;-20,14854215;-40,27970926;"SPRF-ES";"DEL02-ES";"UOP01-DEL02-ES"
526923;2023-06-02;"sexta-feira";"17:10:00";"ES";262;38;"DOMINGOS MARTINS";"Trafegar com motocicleta (ou similar) entre as faixas";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Nublado";"Simples";"Reta;Interseção de Vias";"Não";3;0;1;0;2;0;1;2;-20,38085315;-40,62068704;"SPRF-ES";"DEL01-ES";"UOP01-DEL01-ES"
526924;2023-06-02;"sexta-feira";"16:30:00";"MG";381;268;"TIMOTEO";"Reação tardia ou ineficiente do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;1;0;1;2;-19,53877668;-42,68374715;"SPRF-MG";"DEL03-MG";"UOP02-DEL03-MG"
526927;2023-06-02;"sexta-feira";"17:50:00";"SC";101;122;"ITAJAI";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-26,92955916;-48,70499836;"SPRF-SC";"DEL04-SC";"UOP04-DEL04-SC"
526928;2023-06-02;"sexta-feira";"15:05:00";"ES";262;111;"VENDA NOVA DO IMIGRANTE";"Acumulo de areia ou detritos sobre o pavimento";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;0;1;0;0;1;1;-20,33710625;-41,19042567;"SPRF-ES";"DEL01-ES";"UOP02-DEL01-ES"
526929;2023-06-02;"sexta-feira";"18:25:00";"RS";392;68;"PELOTAS";"Ausência de reação do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Interseção de Vias";"Não";2;0;1;0;1;0;1;2;-31,74853677;-52,40231256;"SPRF-RS";"DEL07-RS";"UOP01-DEL07-RS"
526930;2023-06-02;"sexta-feira";"17:35:00";"PR";277;689,3;"SAO MIGUEL DO IGUACU";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Sol";"Dupla";"Interseção de Vias;Reta;Retorno Regulamentado";"Sim";2;0;0;1;1;0;1;2;-25,35059002;-54,24064696;"SPRF-PR";"DEL05-PR";"UOP01-DEL05-PR"
526931;2023-06-02;"sexta-feira";"16:40:00";"RJ";356;39;"ITAPERUNA";"Avarias e/ou desgaste excessivo no pneu";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;2;0;0;0;2;1;-21,20820314;-41,85021596;"SPRF-RJ";"DEL08-RJ";"UOP03-DEL08-RJ"
526932;2023-06-02;"sexta-feira";"18:40:00";"SC";101;195,6;"BIGUACU";"Ausência de reação do condutor";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;0;0;2;0;0;2;-27,5047092;-48,65010819;"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
526935;2023-06-02;"sexta-feira";"18:50:00";"RJ";356;148;"CAMPOS DOS GOYTACAZES";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-21,77276872;-41,28138006;"SPRF-RJ";"DEL08-RJ";"UOP02-DEL08-RJ"
526936;2023-06-02;"sexta-feira";"18:20:00";"RJ";101;485;"ANGRA DOS REIS";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-22,98573526;-44,29709764;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
526937;2023-06-02;"sexta-feira";"18:30:00";"GO";153;501;"GOIANIA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;1;1;0;1;2;-16,7189;-49,2382;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
526938;2023-06-02;"sexta-feira";"17:20:00";"RJ";101;407;"ITAGUAI";"Reação tardia ou ineficiente do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-22,87672058;-43,81631971;"SPRF-RJ";"DEL03-RJ";"UOP01-DEL03-RJ"
526939;2023-06-02;"sexta-feira";"18:44:00";"GO";153;500;"GOIANIA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;0;0;1;1;0;2;-16,7118;-49,2324;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
526940;2023-06-02;"sexta-feira";"19:00:00";"SC";470;70,5;"INDAIAL";"Conversão proibida";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;0;2;1;0;2;2;-26,889374;-49,254478;"SPRF-SC";"DEL04-SC";"UOP01-DEL04-SC"
526941;2023-06-02;"sexta-feira";"17:30:00";"AL";316;82;"SANTANA DO IPANEMA";"Reação tardia ou ineficiente do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Curva";"Sim";1;0;1;0;0;0;1;1;-9,36141079;-37,2685338;"SPRF-AL";"DEL03-AL";"UOP02-DEL03-AL"
526942;2023-03-18;"sábado";"09:30:00";"PR";116;3;"QUATRO BARRAS";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta;Aclive";"Não";2;0;1;0;0;1;1;2;-25,3593;-49,0744;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
526943;2023-05-08;"segunda-feira";"18:20:00";"BA";116;425;"FEIRA DE SANTANA";"Reação tardia ou ineficiente do condutor";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;1;0;0;2;2;-12,24812523;-38,98748946;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
526944;2023-06-02;"sexta-feira";"18:50:00";"SC";101;334,1;"TUBARAO";"Velocidade Incompatível";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-28,46730446;-49,00604302;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
526945;2023-06-02;"sexta-feira";"19:10:00";"SP";153;38,1;"ONDA VERDE";"Deficiência do Sistema de Iluminação/Sinalização";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-20,605145;-49,323185;"SPRF-SP";"DEL09-SP";"UOP01-DEL09-SP"
526947;2023-06-02;"sexta-feira";"18:30:00";"PE";232;9,5;"RECIFE";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";3;0;1;0;2;0;1;2;-8,07764447;-34,97863609;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
526948;2023-06-02;"sexta-feira";"19:25:00";"MG";116;803,5;"ALEM PARAIBA";"Transitar na contramão";"Colisão frontal";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva";"Não";2;1;0;0;1;0;0;2;-21,7856639;-42,72039984;"SPRF-MG";"DEL07-MG";"UOP01-DEL07-MG"
526949;2023-06-02;"sexta-feira";"19:26:00";"PE";101;83;"JABOATAO DOS GUARARAPES";"Manobra de mudança de faixa";"Engavetamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Retorno Regulamentado";"Não";3;0;1;0;2;0;1;3;-8,175172;-34,942642;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
526950;2023-06-02;"sexta-feira";"18:30:00";"MG";381;479,9;"CONTAGEM";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;1;1;1;0;2;2;-19,96334562;-44,0404129;"SPRF-MG";"DEL01-MG";"UOP03-DEL01-MG"
526951;2023-06-02;"sexta-feira";"17:40:00";"RS";116;376;"SENTINELA DO SUL";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;0;1;2;0;1;2;-30,74673812;-51,63195186;"SPRF-RS";"DEL02-RS";"UOP02-DEL02-RS"
526953;2023-06-02;"sexta-feira";"07:20:00";"PI";316;273;"DOM EXPEDITO LOPES";"Restrição de visibilidade em curvas horizontais";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva;Interseção de Vias";"Sim";3;0;1;0;2;0;1;1;-6,94208609;-41,74100006;"SPRF-PI";"DEL04-PI";"UOP01-DEL04-PI"
526954;2023-06-02;"sexta-feira";"18:00:00";"PR";116;102,8;"SAO JOSE DOS PINHAIS";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-25,570493;-49,191646;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
526955;2023-06-02;"sexta-feira";"19:30:00";"GO";60;95,1;"ANAPOLIS";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-16,364904;-48,936034;"SPRF-GO";"DEL02-GO";"UOP01-DEL02-GO"
526957;2023-06-02;"sexta-feira";"19:30:00";"PR";277;597;"CASCAVEL";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-24,99513602;-53,51418998;"SPRF-PR";"DEL04-PR";"UOP01-DEL04-PR"
526960;2023-06-02;"sexta-feira";"19:00:00";"PR";116;122,4;"CURITIBA";"Acessar a via sem observar a presença dos outros veículos";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-25,56857207;-49,31023179;"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
526961;2023-06-02;"sexta-feira";"20:00:00";"PR";376;332;"ORTIGUEIRA";"Transitar na contramão";"Colisão frontal";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";5;1;0;0;4;0;0;3;-24,13003929;-51,01237231;"SPRF-PR";"DEL07-PR";"UOP02-DEL07-PR"
